Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2003,134,1421,92,1411,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22
2003,136,1112,80,1436,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15
2003,136,1113,84,1272,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18
2003,136,1141,79,1166,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21
2003,136,1143,76,1301,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19
2003,136,1163,58,1140,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22
2003,136,1181,67,1161,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19
2003,136,1211,74,1153,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24
2003,136,1228,65,1443,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16
2003,136,1242,64,1429,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15
2003,136,1266,72,1221,68,N,0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20
2003,136,1281,72,1356,71,N,0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19
2003,136,1323,70,1454,69,N,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25
2003,136,1328,71,1354,54,N,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23
2003,136,1390,77,1360,69,N,0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18
2003,136,1409,84,1173,71,N,0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19
2003,136,1458,81,1451,74,N,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20
2003,137,1120,65,1386,63,N,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19
2003,137,1139,47,1280,46,N,0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13
2003,137,1196,85,1358,55,N,0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16
2003,137,1231,67,1104,62,N,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21
2003,137,1246,95,1237,64,N,0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15
2003,137,1257,86,1122,64,N,0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18
2003,137,1268,75,1423,73,N,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19
2003,137,1277,79,1160,64,N,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19
2003,137,1329,77,1335,63,N,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20
2003,137,1338,87,1447,61,N,0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20
2003,137,1345,80,1261,56,N,0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13
2003,137,1393,76,1264,65,N,0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14
2003,137,1400,82,1421,61,N,0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16
2003,137,1428,60,1332,58,N,0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22
2003,137,1448,76,1190,73,N,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20
2003,137,1462,71,1407,59,N,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19
2003,138,1112,96,1211,95,N,2,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25
2003,138,1163,85,1390,74,N,0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18
2003,138,1181,86,1141,60,N,0,32,52,10,15,12,16,4,23,14,11,15,9,18,21,57,8,17,10,14,14,19,8,21,4,2,14
2003,138,1242,108,1113,76,N,0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21
2003,138,1266,101,1281,92,N,1,35,62,12,18,19,20,8,25,18,12,6,0,20,31,72,15,36,15,19,18,20,19,12,4,4,17
2003,138,1323,68,1228,60,N,0,25,61,13,24,5,5,5,32,12,11,5,4,13,22,63,5,17,11,16,10,31,12,9,6,3,10
2003,138,1328,74,1143,65,N,0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23
2003,138,1458,61,1409,60,N,0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16
2003,139,1120,68,1448,62,N,0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23
2003,139,1139,79,1257,71,N,0,27,52,14,22,11,19,10,18,21,12,6,2,11,28,54,11,25,4,4,8,19,13,14,8,2,21
2003,139,1246,74,1428,54,N,0,26,55,4,13,18,18,13,22,11,13,4,3,16,19,48,4,14,12,16,8,14,8,16,7,2,19
2003,139,1268,77,1462,64,N,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16
2003,139,1277,68,1196,46,N,0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20
2003,139,1338,74,1231,52,N,0,25,47,4,9,20,28,10,21,15,11,9,1,14,19,44,6,17,8,10,5,15,13,16,3,2,18
2003,139,1393,68,1329,56,N,0,26,57,5,12,11,18,5,33,16,17,11,9,19,22,63,3,19,9,19,11,27,16,22,8,4,19
2003,139,1400,77,1345,67,N,0,25,62,5,11,22,26,13,27,8,13,4,0,21,23,62,5,16,16,24,13,22,10,13,7,2,24
2003,143,1112,88,1323,71,N,0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16
2003,143,1242,69,1181,65,N,0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18
2003,143,1246,63,1458,57,N,0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20
2003,143,1266,77,1338,74,N,0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19
2003,144,1277,60,1268,58,N,0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15
2003,144,1328,65,1139,54,N,0,27,55,4,10,7,12,19,20,15,13,6,1,18,19,43,4,13,12,17,7,14,10,13,7,2,18
2003,144,1393,79,1120,78,N,0,29,66,5,14,16,21,15,21,14,10,9,7,17,27,63,10,22,14,17,14,26,15,17,5,5,19
2003,144,1400,82,1163,78,N,0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21
2003,145,1242,78,1112,75,N,0,29,67,8,26,12,18,15,22,16,15,13,5,20,23,55,10,22,19,23,11,26,16,19,8,2,17
2003,145,1266,83,1246,69,N,0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19
2003,146,1393,63,1328,47,N,0,25,48,2,12,11,19,12,28,16,24,13,2,13,18,58,5,28,6,11,14,14,10,19,13,4,16
2003,146,1400,85,1277,76,N,0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28
2003,152,1242,94,1266,61,N,0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17
2003,152,1393,95,1400,84,N,0,32,56,7,13,24,31,9,28,14,13,9,2,21,27,63,10,21,20,32,17,17,20,14,6,2,26
2003,154,1393,81,1242,78,N,0,30,63,11,18,10,17,11,25,13,17,10,7,22,31,71,4,20,12,30,26,26,18,18,9,4,16
2004,134,1197,72,1250,57,N,0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20
2004,136,1104,65,1356,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14
2004,136,1163,70,1436,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19
2004,136,1177,76,1173,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29
2004,136,1181,96,1106,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20
2004,136,1211,76,1434,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20
2004,136,1264,75,1196,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18
2004,136,1268,86,1431,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25
2004,136,1305,72,1277,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25
2004,136,1314,63,1102,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15
2004,136,1371,80,1112,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15
2004,136,1386,82,1251,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22
2004,136,1390,71,1427,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15
2004,136,1393,80,1140,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23
2004,136,1400,66,1343,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18
2004,136,1403,76,1150,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20
2004,136,1448,79,1433,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22
2004,137,1130,58,1428,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12
2004,137,1153,80,1190,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14
2004,137,1210,65,1320,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16
2004,137,1228,72,1293,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13
2004,137,1242,78,1227,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25
2004,137,1246,96,1197,76,N,0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19
2004,137,1272,59,1376,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14
2004,137,1280,85,1284,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18
2004,137,1301,61,1418,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21
2004,137,1329,75,1186,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
2004,137,1334,66,1344,58,N,0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18
2004,137,1338,53,1416,44,N,0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22
2004,137,1412,102,1449,100,N,0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30
2004,137,1435,71,1444,58,N,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19
2004,137,1458,76,1350,64,N,0,25,51,8,18,18,24,11,18,14,9,7,3,11,25,54,7,16,7,13,13,16,17,14,8,3,19
2004,137,1462,80,1257,70,N,0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23
2004,138,1104,70,1390,67,N,0,16,43,4,19,34,44,5,24,8,8,6,8,16,26,73,7,24,8,11,22,27,12,12,2,0,31
2004,138,1163,72,1177,55,N,0,26,60,5,16,15,23,13,31,15,5,5,5,15,20,59,5,15,10,13,9,26,12,8,1,0,20
2004,138,1181,90,1371,62,N,0,26,48,4,11,34,38,11,29,16,10,3,3,18,24,57,3,17,11,16,8,14,11,10,4,0,27
2004,138,1305,91,1211,72,N,0,30,64,8,17,23,29,14,29,18,8,4,4,18,28,75,3,22,13,18,19,20,9,10,4,1,23
2004,138,1386,70,1403,65,N,0,27,57,12,31,4,5,11,20,13,13,4,0,16,25,53,3,12,12,14,9,20,16,9,7,2,11
2004,138,1393,72,1268,70,N,0,22,55,4,12,24,38,12,26,11,12,7,5,25,20,52,3,12,27,38,12,28,13,17,5,6,26
2004,138,1400,78,1314,75,N,0,27,55,5,13,19,23,9,26,10,11,6,1,19,25,65,9,28,16,19,16,20,14,11,6,1,21
2004,138,1448,84,1264,80,N,0,29,57,8,20,18,24,8,29,15,10,5,2,18,29,63,7,20,15,20,8,24,15,8,5,3,23
2004,139,1210,57,1130,54,N,0,23,51,6,18,5,6,8,16,15,17,12,1,17,20,44,5,13,9,15,11,19,14,22,11,2,14
2004,139,1228,92,1153,68,N,0,35,55,11,19,11,14,2,19,26,4,9,1,14,27,58,7,16,7,11,14,20,14,13,1,5,14
2004,139,1242,78,1334,63,N,0,29,60,5,15,15,21,15,25,17,13,11,3,15,23,54,6,20,11,15,9,18,19,14,6,1,18
2004,139,1329,70,1272,53,N,0,28,47,5,12,9,17,14,20,18,17,8,1,16,20,50,6,17,7,14,11,11,9,12,6,3,15
2004,139,1338,59,1458,55,N,0,21,59,2,10,15,19,15,25,10,9,7,3,17,17,48,8,18,13,17,7,24,9,13,4,3,20
2004,139,1412,76,1246,75,N,0,30,67,8,18,8,13,18,15,19,12,9,1,19,27,61,7,20,14,18,20,21,13,16,4,4,16
2004,139,1435,75,1301,73,N,0,23,49,10,25,19,21,10,17,15,8,4,2,13,27,57,13,31,6,8,13,18,13,6,1,1,20
2004,139,1462,89,1280,74,N,0,30,55,13,19,16,23,6,32,14,13,3,9,14,26,72,9,26,13,21,18,22,14,8,11,3,21
2004,143,1104,80,1393,71,N,0,26,52,9,22,19,23,10,17,22,9,11,6,17,26,55,5,14,14,20,16,19,12,18,5,4,20
2004,143,1163,73,1435,53,N,0,27,51,6,17,13,15,11,33,14,18,6,4,10,20,57,8,24,5,8,6,15,11,11,8,0,14
2004,143,1329,63,1338,51,N,0,22,45,4,8,15,16,6,24,13,10,6,5,16,21,58,3,17,6,10,16,17,8,12,5,1,18
2004,143,1386,84,1448,80,N,0,29,58,12,24,14,23,10,20,15,11,8,4,21,27,51,8,16,18,25,7,21,15,15,6,0,22
2004,144,1181,72,1228,62,N,0,28,51,6,18,10,15,5,24,19,13,10,5,14,26,64,4,13,6,11,14,22,17,12,5,2,15
2004,144,1210,72,1305,67,N,0,27,63,6,18,12,22,13,36,10,16,9,5,22,22,69,5,20,18,24,16,29,5,11,4,3,22
2004,144,1242,100,1412,74,N,0,30,56,4,10,36,44,10,35,21,17,9,3,19,23,71,8,33,20,24,14,19,12,12,13,4,27
2004,144,1462,79,1400,71,N,0,23,58,8,25,25,35,16,23,13,7,6,3,20,26,62,7,16,12,17,14,21,12,8,1,6,25
2004,145,1163,87,1104,71,N,0,29,60,10,17,19,29,15,25,17,7,3,7,18,25,60,6,19,15,18,12,21,14,9,2,5,23
2004,145,1329,64,1386,62,N,0,25,53,4,17,10,15,12,30,13,13,2,6,16,22,57,8,26,10,13,6,18,15,5,8,3,14
2004,146,1181,66,1462,63,N,0,21,54,8,20,16,20,10,29,15,11,6,7,23,22,63,3,15,16,23,16,24,8,10,5,0,21
2004,146,1210,79,1242,71,N,1,25,56,3,16,26,34,11,30,14,12,13,3,17,26,65,6,19,13,19,12,26,15,15,8,3,26
2004,152,1163,79,1181,78,N,0,26,52,6,11,21,32,13,31,9,18,5,6,20,29,71,6,22,14,23,17,20,11,9,8,3,24
2004,152,1210,67,1329,65,N,0,24,49,7,17,12,16,7,22,16,12,7,4,19,22,50,4,15,17,25,12,21,10,13,3,0,15
2004,154,1163,82,1210,73,N,0,26,61,5,17,25,39,18,32,10,16,5,2,18,27,71,7,22,12,21,18,25,9,14,10,1,26
2005,134,1324,79,1105,69,N,0,29,57,7,15,14,20,14,29,14,17,2,2,14,23,59,10,28,13,18,10,19,16,14,6,3,17
2005,136,1112,66,1429,53,N,0,23,49,6,14,14,18,9,24,9,11,3,6,12,20,55,7,19,6,10,12,20,15,12,6,3,16
2005,136,1130,85,1335,65,N,0,30,52,8,12,17,25,8,33,24,19,8,6,14,25,71,10,30,5,10,16,18,17,17,11,2,19
2005,136,1153,76,1234,64,N,0,27,57,9,18,13,22,9,27,18,8,5,8,19,20,59,5,17,19,25,16,27,5,11,6,1,20
2005,136,1211,74,1457,64,N,0,27,59,5,16,15,22,11,29,13,10,5,5,14,22,60,10,26,10,12,10,26,16,13,4,0,19
2005,136,1228,67,1192,55,N,0,23,54,6,21,15,21,8,22,16,8,8,2,13,23,57,4,16,5,11,15,27,11,17,6,3,19
2005,136,1246,72,1184,64,N,0,26,51,2,11,18,26,9,22,11,14,9,4,11,26,59,6,18,6,11,13,22,14,17,5,1,20
2005,136,1305,61,1400,57,N,0,23,62,3,14,12,18,16,33,11,8,4,7,14,24,68,5,10,4,6,13,27,2,5,5,6,16
2005,136,1328,84,1310,67,N,0,34,74,3,13,13,15,14,34,16,14,9,3,14,24,68,6,28,13,15,11,26,12,16,8,2,16
2005,136,1334,79,1338,71,N,0,26,55,10,20,17,23,10,25,15,12,2,1,18,25,59,8,23,13,18,10,20,10,10,7,3,20
2005,136,1403,78,1417,66,N,0,32,52,3,7,11,16,4,28,21,14,7,2,14,26,60,6,20,8,15,9,18,16,13,5,2,15
2005,136,1412,82,1261,68,N,0,27,59,7,16,21,36,11,24,15,15,8,2,23,23,64,6,31,16,22,16,26,10,21,6,5,26
2005,136,1428,60,1431,54,N,0,21,49,6,24,12,20,15,25,15,18,7,4,13,22,53,2,9,8,9,5,17,13,10,6,1,20
2005,136,1448,70,1151,54,N,0,24,58,8,28,14,21,15,22,16,15,10,2,12,21,52,6,20,6,9,11,24,12,22,5,1,19
2005,136,1449,88,1285,77,N,0,32,58,9,19,15,22,9,23,19,16,9,1,14,33,65,9,20,2,8,12,21,15,18,5,0,16
2005,136,1452,63,1166,61,N,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16
2005,136,1454,83,1104,73,N,0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20
2005,137,1137,64,1242,63,N,0,22,55,8,31,12,16,9,21,17,9,10,1,21,20,46,1,11,22,27,8,26,14,13,5,3,15
2005,137,1163,77,1416,71,N,0,29,58,3,6,16,25,14,29,17,13,7,6,13,21,61,11,28,18,21,12,17,16,10,10,6,21
2005,137,1181,57,1175,46,N,0,16,39,6,20,19,29,5,27,9,8,5,6,15,19,52,5,15,3,6,9,21,10,11,3,1,23
2005,137,1196,67,1325,62,N,0,21,54,7,23,18,19,11,21,15,16,11,8,21,18,46,9,18,17,26,10,23,8,20,8,5,21
2005,137,1210,80,1203,68,N,0,28,56,7,16,17,22,10,32,11,17,10,3,22,29,65,6,16,4,16,12,22,19,14,9,4,20
2005,137,1235,64,1278,53,N,0,25,57,2,8,12,19,15,24,11,13,12,8,17,21,63,5,23,6,10,20,21,8,17,9,1,18
2005,137,1257,68,1418,62,N,0,22,57,6,22,18,27,16,20,12,11,5,2,19,24,53,4,12,10,18,13,24,14,18,7,0,21
2005,137,1277,89,1330,81,N,0,29,51,3,14,28,36,5,25,11,13,9,1,22,26,61,7,20,22,26,10,20,13,15,9,1,29
2005,137,1280,93,1390,70,N,0,32,57,9,17,20,26,10,29,13,9,3,6,19,24,63,4,18,18,25,12,18,9,5,6,3,19
2005,137,1301,75,1150,63,N,0,26,59,4,19,19,22,11,22,14,16,14,8,10,23,58,8,21,9,14,12,24,11,20,8,2,18
2005,137,1314,96,1324,68,N,0,37,58,12,19,10,19,15,24,27,15,9,3,13,25,58,6,15,12,18,11,11,12,10,9,0,16
2005,137,1329,63,1368,50,N,0,18,37,4,7,23,29,8,22,13,17,11,1,13,20,45,3,10,7,10,5,14,10,17,12,2,22
2005,137,1356,65,1388,56,N,0,25,61,4,12,11,14,12,21,12,10,8,2,22,17,51,4,20,18,22,16,26,3,20,2,2,17
2005,137,1436,60,1393,57,N,1,22,59,7,21,9,11,13,17,14,16,10,0,12,23,55,3,12,8,9,14,23,8,24,9,3,12
2005,137,1437,55,1307,47,N,0,15,53,8,29,17,24,18,29,9,20,12,4,15,17,57,4,25,9,12,12,23,6,17,9,4,20
2005,137,1458,57,1320,52,N,0,20,48,11,26,6,10,5,25,14,8,3,2,13,22,53,4,17,4,8,8,27,8,8,4,2,15
2005,138,1112,85,1412,63,N,0,30,57,7,22,18,23,11,28,16,16,7,7,14,21,64,6,30,15,18,15,17,15,14,9,2,22
2005,138,1228,71,1305,59,N,0,26,49,2,12,17,20,6,26,18,16,9,3,18,20,54,3,9,16,25,12,20,10,14,10,1,17
2005,138,1246,69,1153,60,N,0,25,49,7,12,12,18,7,29,16,15,7,5,17,20,61,7,26,13,19,16,21,10,10,4,4,19
2005,138,1403,71,1211,69,N,0,29,59,4,11,9,16,8,24,18,7,7,1,14,29,62,2,13,9,18,17,27,14,13,2,1,17
2005,138,1428,67,1328,58,N,0,22,37,5,8,18,28,9,30,15,20,2,2,19,21,66,2,19,14,19,19,14,3,7,8,3,24
2005,138,1449,97,1334,79,N,0,36,64,9,23,16,19,12,23,17,7,2,3,20,30,67,8,24,11,17,17,14,13,8,4,1,18
2005,138,1452,111,1448,105,N,2,37,70,7,21,30,39,10,25,20,11,5,5,26,36,71,9,23,24,36,17,29,23,18,7,3,28
2005,138,1454,83,1130,75,N,0,26,55,11,24,20,22,10,16,17,16,11,5,26,23,50,4,11,25,35,15,21,16,22,6,2,22
2005,139,1181,63,1280,55,N,0,19,50,8,21,17,21,13,30,8,16,8,6,22,20,62,4,13,11,21,18,21,9,10,7,5,19
2005,139,1257,76,1210,54,N,0,22,42,10,21,22,28,9,28,10,11,1,7,15,20,53,6,16,8,10,7,15,11,7,7,0,21
2005,139,1277,72,1436,61,N,0,27,56,2,12,16,22,12,27,12,9,4,4,16,22,70,7,22,10,14,23,18,5,9,4,0,19
2005,139,1301,65,1163,62,N,0,20,50,10,20,15,17,7,19,13,13,10,4,18,22,52,2,14,16,18,9,22,9,14,3,4,16
2005,139,1314,92,1235,65,N,0,31,65,8,25,22,37,15,35,20,13,14,4,18,27,76,4,13,7,17,20,27,20,17,8,2,23
2005,139,1329,85,1356,77,N,0,25,46,6,12,29,33,8,22,18,14,3,0,23,23,56,6,19,25,30,12,16,14,11,8,0,28
2005,139,1437,76,1196,65,N,0,24,58,3,11,25,35,17,27,10,14,11,4,23,20,52,7,18,18,25,10,24,9,19,6,4,30
2005,139,1458,71,1137,62,N,0,21,46,7,17,22,29,8,22,14,7,5,1,12,23,50,5,15,11,14,7,22,13,10,4,2,24
2005,143,1112,79,1329,78,N,0,31,47,7,14,10,17,8,23,17,14,3,5,17,29,66,10,23,10,13,16,11,17,8,10,0,17
2005,143,1228,77,1454,63,N,0,28,57,9,20,12,15,8,25,20,9,7,2,20,22,57,7,29,12,18,13,22,12,12,4,3,12
2005,143,1257,93,1449,79,N,0,31,56,11,26,20,28,10,34,17,17,8,4,18,28,67,6,25,17,28,13,20,15,11,9,0,25
